BasicUser(name='Ing_War', score=10)
BasicUser(name='LegendDoom', score=10)
BasicUser(name='Abuk007', score=10)
BasicUser(name='Offcl_Hulkmode', score=10)
BasicUser(name='DarkerUA', score=10)
BasicUser(name='carrysh1ft', score=6)
BasicUser(name='karolzzr', score=10)
BasicUser(name='fenreck', score=10)
BasicUser(name='Verold', score=10)
BasicUser(name='NightBossman', score=10)
BasicUser(name='Sean_from_CtS', score=10)
BasicUser(name='fBARCELLOS', score=10)
BasicUser(name='viktordean53', score=9)
BasicUser(name='nilelle', score=10)
BasicUser(name='Kilarus', score=10)
BasicUser(name='Spencershorts', score=1)
BasicUser(name='alexdracu', score=1)
BasicUser(name='Solo_Phoenix404', score=0)
BasicUser(name='Labina27', score=3)
BasicUser(name='Cooterchris', score=0)
BasicUser(name='zango007', score=4)
BasicUser(name='andresitobboy', score=3)
BasicUser(name='MrArwain', score=0)
BasicUser(name='AGL890', score=0)
BasicUser(name='ZPRO_HENRY', score=0)
BasicUser(name='nightingle90', score=3)
BasicUser(name='MightyMike', score=1)
BasicUser(name='DennyMcClane10', score=1)
BasicUser(name='monkeymix70', score=0)
BasicUser(name='Snorklingunder', score=3)
BasicUser(name='Gugazanol', score=3)
BasicUser(name='Igor_Rob', score=0)
BasicUser(name='Seig1986', score=0)
BasicUser(name='Matthei', score=2)
BasicUser(name='Cyberdemon77', score=0)
BasicUser(name='Tbone262', score=0)
BasicUser(name='notchedbandit', score=0)
BasicUser(name='FantomFBT', score=1)
BasicUser(name='GustaCNXFL', score=0)
BasicUser(name='shenvo', score=2)
BasicUser(name='dede17', score=0)
BasicUser(name='BURAJK', score=0)
BasicUser(name='Kraks', score=4)
BasicUser(name='Vspec4', score=10)
BasicUser(name='dymka_', score=9)
BasicUser(name='BaldMan82', score=10)
BasicUser(name='Geruxian', score=10)
BasicUser(name='Pmsmm', score=10)
BasicUser(name='Rdplayer', score=9)
BasicUser(name='Hydra117', score=9)
BasicUser(name='davemo77', score=10)
BasicUser(name='dom96', score=3)
BasicUser(name='Thomas_Angelo', score=2)
BasicUser(name='iZiyad', score=0)
BasicUser(name='YukioShimura', score=3)
BasicUser(name='Vizic', score=2)
BasicUser(name='jayfjay15', score=0)
BasicUser(name='Beba33', score=3)
BasicUser(name='Fedce', score=0)
BasicUser(name='Ali129', score=0)
BasicUser(name='Kenned', score=3)
BasicUser(name='Blahblurblah', score=2)
BasicUser(name='rawastos', score=3)
BasicUser(name='nickwz', score=0)
BasicUser(name='MightyVaper', score=0)
BasicUser(name='Mohammed89', score=0)
BasicUser(name='Kissydiaz', score=0)
BasicUser(name='LiesLiesLies', score=0)
BasicUser(name='reess', score=4)
BasicUser(name='Thesiberian87', score=4)
BasicUser(name='RyoandFlex', score=0)
BasicUser(name='cyberbugs', score=1)
BasicUser(name='Cyberpunkass', score=0)
BasicUser(name='oWarf', score=1)
BasicUser(name='Lucaztelles', score=1)
BasicUser(name='ObsidianOne', score=3)
BasicUser(name='darkcerb', score=4)
BasicUser(name='KodAAAq-', score=3)
BasicUser(name='legend101', score=0)
BasicUser(name='Kop', score=3)
BasicUser(name='Magnavox_89', score=0)
BasicUser(name='Talhan', score=1)
BasicUser(name='AesirHunter', score=0)
BasicUser(name='Slash1978', score=0)
BasicUser(name='Theprouler', score=0)
BasicUser(name='Lucas-joker', score=0)
BasicUser(name='SavageStyle', score=3)
BasicUser(name='phrog164', score=0)
BasicUser(name='kingofdara', score=3)
BasicUser(name='DMReview', score=1)
BasicUser(name='fafafa486', score=1)
BasicUser(name='HellHammer6', score=1)
BasicUser(name='Bally50', score=0)
BasicUser(name='dermancolak', score=0)
BasicUser(name='afdsgdsfhdfshdf', score=0)
BasicUser(name='lowx', score=0)
BasicUser(name='CenMen', score=0)
BasicUser(name='CyJones', score=1)
BasicUser(name='fallout7050', score=0)
BasicUser(name='Korsanlordu', score=0)
BasicUser(name='Jillsandw1ch', score=0)
BasicUser(name='AxelLeRoux', score=1)
BasicUser(name='Wolfyboi', score=0)
BasicUser(name='XRP', score=0)
BasicUser(name='alohamemeh', score=2)
BasicUser(name='Lukas94vl', score=0)
BasicUser(name='Telanr', score=0)
BasicUser(name='machinist1', score=1)
BasicUser(name='azmaiulla', score=0)
BasicUser(name='Dalex11', score=0)
BasicUser(name='Randomguy8524', score=0)
BasicUser(name='Laurentiu89', score=0)
BasicUser(name='GamerMan444', score=0)
BasicUser(name='magawolaz', score=1)
BasicUser(name='LordBendtner', score=4)
BasicUser(name='Johnny-Canuck', score=1)
BasicUser(name='r13s', score=2)
BasicUser(name='xaurax', score=1)
BasicUser(name='theobill1', score=0)
BasicUser(name='BlackRoseBaran', score=0)
BasicUser(name='TheresNoGames', score=0)
BasicUser(name='RandySmores', score=0)
BasicUser(name='Necrophat', score=0)
BasicUser(name='psylife', score=5)
BasicUser(name='OzzTheBozz', score=5)
BasicUser(name='Rancid89', score=0)
BasicUser(name='erv9', score=0)
BasicUser(name='Mefix', score=4)
BasicUser(name='Beanzapper', score=0)
BasicUser(name='YourMumWashes', score=0)
BasicUser(name='Forestsfailyou', score=5)
BasicUser(name='Bros', score=5)
BasicUser(name='MemeGod', score=1)
BasicUser(name='BestKill_Gamer', score=0)
BasicUser(name='Panda6378', score=0)
BasicUser(name='KingMike860', score=0)
BasicUser(name='CapnCrackerz', score=1)
BasicUser(name='thedillonattor', score=0)
BasicUser(name='zhongbot', score=0)
BasicUser(name='MADCRACK', score=2)
BasicUser(name='XezonN', score=0)
BasicUser(name='Heraldozka', score=0)
BasicUser(name='SteveUCV', score=1)
BasicUser(name='Shalabas123', score=0)
BasicUser(name='d4jones', score=4)
BasicUser(name='maomeowmoo', score=0)
BasicUser(name='Edmonta', score=1)
BasicUser(name='SHBKhan', score=0)
BasicUser(name='TheDesMind', score=10)
BasicUser(name='migueba', score=10)
BasicUser(name='tonyv6815', score=9)
BasicUser(name='RONIX', score=10)
BasicUser(name='DesktopAdonis', score=10)
BasicUser(name='player_one', score=10)
BasicUser(name='FFF67', score=0)
BasicUser(name='wtfigor', score=0)
BasicUser(name='Rufusjackson', score=0)
BasicUser(name='Vautrin', score=1)
BasicUser(name='ACSM', score=0)
BasicUser(name='mclaryst', score=0)
BasicUser(name='F1NAMEN', score=2)
BasicUser(name='bananaseason', score=0)
BasicUser(name='CyberScam2020', score=0)
BasicUser(name='Omnius1981', score=3)
BasicUser(name='GenoyTexy', score=0)
BasicUser(name='Canadalife', score=0)
BasicUser(name='patatasbravas', score=3)
BasicUser(name='gnexus460', score=0)
BasicUser(name='Slothalicious', score=4)
BasicUser(name='VladimirIsmakov', score=0)
BasicUser(name='Fuccc', score=0)
BasicUser(name='damir180', score=2)
BasicUser(name='Clairiel', score=6)
BasicUser(name='DCTFUK', score=6)
BasicUser(name='Mossandtree9513', score=5)
BasicUser(name='Bryeguy', score=5)
BasicUser(name='peanutbutter87', score=6)
BasicUser(name='HericStrada', score=5)
BasicUser(name='Ninphiro1002', score=5)
BasicUser(name='dashdhirens', score=6)
BasicUser(name='waxta', score=5)
BasicUser(name='PhatMonkey', score=10)
BasicUser(name='Register22', score=10)
BasicUser(name='WMAlleg', score=10)
BasicUser(name='VladimirMMM', score=10)
BasicUser(name='masterwishx', score=10)
BasicUser(name='Sxva', score=10)
BasicUser(name='Evil_Pasta', score=9)
BasicUser(name='Noshein', score=10)
BasicUser(name='SGate', score=10)
BasicUser(name='bfaazer', score=10)
BasicUser(name='GamerRunix', score=10)
BasicUser(name='Oleg22', score=10)
BasicUser(name='Amaterasu013', score=10)
BasicUser(name='MrBannanaa', score=9)
BasicUser(name='Won7an', score=9)
BasicUser(name='Dontex', score=0)
BasicUser(name='Relium', score=0)
BasicUser(name='ModernLizard', score=4)
BasicUser(name='Cheko019', score=4)
BasicUser(name='Iunstopable', score=2)
BasicUser(name='Nijkerk', score=0)
BasicUser(name='MetalS0ldier', score=0)
BasicUser(name='Tevex', score=0)
BasicUser(name='Dooron', score=3)
BasicUser(name='Mackt', score=0)
BasicUser(name='ErenEroglu', score=0)
BasicUser(name='Dereck_Vingdom8', score=0)
BasicUser(name='Coochiekage', score=0)
BasicUser(name='SolRacRG', score=6)
BasicUser(name='Lukay', score=1)
BasicUser(name='vkumku', score=1)
BasicUser(name='Deniskapich', score=2)
BasicUser(name='xap', score=1)
BasicUser(name='revent_', score=0)
BasicUser(name='DontCareBears', score=2)
BasicUser(name='thedude51', score=3)
BasicUser(name='Antihuman769', score=0)
BasicUser(name='alihandrox', score=1)
BasicUser(name='R3TR0056', score=4)
BasicUser(name='Jacko93', score=4)
BasicUser(name='Predator1480', score=0)
BasicUser(name='Nexx999', score=0)
BasicUser(name='Ps4player558', score=1)
BasicUser(name='notpjustw', score=3)
BasicUser(name='Bloohbluuh', score=9)
BasicUser(name='Pinne', score=0)
BasicUser(name='Roadtonowhere', score=0)
BasicUser(name='FEAN0R', score=0)
BasicUser(name='gjsjgin', score=0)
BasicUser(name='gunnersauras', score=0)
BasicUser(name='braveen10', score=0)
BasicUser(name='Kumazira', score=0)
BasicUser(name='altuallyyes', score=0)
BasicUser(name='Tomo314', score=2)
BasicUser(name='AsalCristian', score=0)
BasicUser(name='truthwillwin', score=0)
BasicUser(name='rhevin', score=0)
BasicUser(name='ilyaSambuka', score=0)
BasicUser(name='Doctor7175', score=2)
BasicUser(name='Sheldor5', score=2)
BasicUser(name='maddestcow', score=2)
BasicUser(name='falcompro', score=2)
BasicUser(name='Luffy_2077', score=4)
BasicUser(name='leonkakumei', score=0)
BasicUser(name='LambertS', score=2)
BasicUser(name='JohnW1ck', score=2)
BasicUser(name='JackMoff', score=3)
BasicUser(name='oldmangamerdude', score=5)
BasicUser(name='ilkerbey', score=0)
BasicUser(name='Arzumanyan', score=0)
BasicUser(name='devilkaise', score=3)
BasicUser(name='saper777', score=3)
BasicUser(name='Dauntlesspilot', score=0)
BasicUser(name='clod182', score=0)
BasicUser(name='Gorz_el', score=0)
BasicUser(name='Bloop808', score=0)
BasicUser(name='imherv', score=2)
BasicUser(name='Herkerr', score=0)
BasicUser(name='pincio', score=0)
BasicUser(name='luka_zet', score=3)
BasicUser(name='BisonWiliam', score=3)
BasicUser(name='T3quiL4', score=0)
BasicUser(name='Hanzalah', score=0)
BasicUser(name='Delamone', score=0)
BasicUser(name='jackburger99', score=0)
BasicUser(name='Pdplucas', score=0)
BasicUser(name='Vanred', score=4)
BasicUser(name='Minstens', score=0)
BasicUser(name='ZogtheZogger', score=0)
BasicUser(name='AnimusLiberatus', score=0)
BasicUser(name='MarioCEO', score=10)
BasicUser(name='bwh31', score=10)
BasicUser(name='nicobxl', score=10)
BasicUser(name='Crismaister', score=6)
BasicUser(name='Omgzjustin', score=4)
BasicUser(name='bonzo2772', score=9)
BasicUser(name='2mainz', score=9)
BasicUser(name='Gutss93', score=10)
BasicUser(name='Wojtek160999', score=10)
BasicUser(name='Hartmann', score=0)
BasicUser(name='Manbrolorian', score=0)
BasicUser(name='Peepeepoopoo', score=0)
BasicUser(name='RydesaurusRex', score=5)
BasicUser(name='franknbean', score=6)
BasicUser(name='DonBonbon', score=6)
BasicUser(name='Phunkie', score=5)
BasicUser(name='NaryV1nger', score=4)
BasicUser(name='sandboxed1', score=5)
BasicUser(name='sittingbullfrog', score=0)
BasicUser(name='Grimlinx', score=6)
BasicUser(name='Piraboy_', score=1)
BasicUser(name='Woolf1', score=0)
BasicUser(name='Gorrador1916', score=0)
BasicUser(name='Ragnarok2489', score=0)
BasicUser(name='MrShybat', score=0)
BasicUser(name='NordFord', score=1)
BasicUser(name='GamingPatrol', score=0)
BasicUser(name='Kirkey86', score=4)
BasicUser(name='deck', score=0)
BasicUser(name='matart91', score=4)
BasicUser(name='DavidVedishchev', score=0)
BasicUser(name='ryanfukyouall', score=0)
BasicUser(name='SeaAlexPowers', score=2)
BasicUser(name='Orange_Punch', score=3)
BasicUser(name='blondul13', score=0)
BasicUser(name='tonymporter', score=1)
BasicUser(name='justfinex', score=0)
BasicUser(name='Outonthetiles', score=2)
BasicUser(name='Diav', score=4)
BasicUser(name='saixo', score=0)
BasicUser(name='something00', score=0)
BasicUser(name='Howtoruinagame', score=0)
BasicUser(name='Jasper456', score=1)
BasicUser(name='danisagrado98', score=0)
BasicUser(name='Zanderax', score=3)
BasicUser(name='Sunde2000', score=0)
BasicUser(name='Codex', score=2)
BasicUser(name='Zen13th', score=4)
BasicUser(name='JackSword', score=4)
BasicUser(name='kamgeforce', score=2)
BasicUser(name='Evillisa', score=3)
BasicUser(name='Xaotix4u', score=10)
BasicUser(name='cemsahin', score=6)
BasicUser(name='El_Psy_Congroo', score=10)
BasicUser(name='TatoSchulze', score=10)
BasicUser(name='Jtemo', score=10)
BasicUser(name='suvorovp', score=9)
BasicUser(name='Tony32', score=10)
BasicUser(name='Xar4a', score=10)
BasicUser(name='italianmikexo', score=10)
BasicUser(name='Mattxx45', score=10)
BasicUser(name='Waltor', score=10)
BasicUser(name='DavenTre', score=10)
BasicUser(name='Alexraffe', score=8)
BasicUser(name='AlexanderN', score=9)
BasicUser(name='GodofNeckbeards', score=8)
BasicUser(name='RadleVeila', score=10)
BasicUser(name='persona2grata', score=10)
BasicUser(name='DarkDoom', score=10)
BasicUser(name='Wets', score=10)
BasicUser(name='Jollus', score=10)
BasicUser(name='Jonny_Sins', score=9)
BasicUser(name='evilgenius86', score=10)
BasicUser(name='Thusi', score=10)
BasicUser(name='thalystrange', score=8)
BasicUser(name='ZonaV', score=9)
BasicUser(name='whydowedothis', score=9)
BasicUser(name='JacoBee93', score=9)
BasicUser(name='Mongooseeyy', score=8)
BasicUser(name='Lorespade', score=10)
BasicUser(name='GKBenji', score=10)
BasicUser(name='Nolven', score=10)
BasicUser(name='Qmaks', score=10)
BasicUser(name='Joewashere', score=3)
BasicUser(name='Fallout2077', score=0)
BasicUser(name='anonymous1111', score=0)
BasicUser(name='FlenzyFL', score=10)
BasicUser(name='linear2r', score=2)
BasicUser(name='jm89', score=1)
BasicUser(name='Celestialowl', score=0)
BasicUser(name='dareymon', score=0)
BasicUser(name='bramadonte', score=8)
BasicUser(name='Pukancheg', score=0)
BasicUser(name='kim_jong', score=8)
BasicUser(name='Acimbo77', score=0)
BasicUser(name='Basti-sama', score=0)
BasicUser(name='CamLFC', score=0)
BasicUser(name='sus34', score=2)
BasicUser(name='cpokoinbli', score=2)
BasicUser(name='St00f', score=2)
BasicUser(name='queenseptienna', score=1)
